r_fighter,b_fighter
Ivan Salaverry,Tony Fryklund
Travis Lutter,Marvin Eastman
Frank Trigg,Renato Verissimo
Tito Ortiz,Vitor Belfort
Pete Sell,Phil Baroni
Andrei Arlovski,Tim Sylvia
Evan Tanner,David Terrell
Mike Kyle,James Irvin
David Loiseau,Gideon Ray
Karo Parisyan,Chris Lytle
Nick Diaz,Drew Fickett
Paul Buentello,Justin Eilers
Rich Franklin,Ken Shamrock
Forrest Griffin,Stephan Bonnar
Diego Sanchez,Kenny Florian
Sam Hoger,Bobby Southworth
Nate Quarry,Lodune Sincaid
Josh Koscheck,Chris Sanford
Chris Leben,Jason Thacker
Alex Karalexis,Josh Rafferty
Mike Swick,Alex Schoenauer
Mike van Arsdale,John Marsh
Joe Doerksen,Patrick Cote
Ivan Salaverry,Joe Riggs
Georges St-Pierre,Jason Miller
Matt Lindland,Travis Lutter
Matt Hughes,Frank Trigg
Renato Sobral,Travis Wiuff
Chuck Liddell,Randy Couture
Andrei Arlovski,Justin Eilers
Karo Parisyan,Matt Serra
Rich Franklin,Evan Tanner
David Loiseau,Charles McCarthy
Paul Buentello,Kevin Jordan
Nate Quarry,Shonie Carter
Forrest Griffin,Bill Mahood
Nick Diaz,Koji Oishi
Stephan Bonnar,Sam Hoger
Nate Marquardt,Ivan Salaverry
Chris Leben,Patrick Cote
Josh Koscheck,Pete Spratt
Mike Swick,Gideon Ray
Kenny Florian,Alex Karalexis
Drew Fickett,Josh Neer
Nate Quarry,Pete Sell
James Irvin,Terry Martin
Trevor Prangley,Travis Lutter
Matt Lindland,Joe Doerksen
Georges St-Pierre,Frank Trigg
Diego Sanchez,Brian Gassaway
Randy Couture,Mike van Arsdale
Tim Sylvia,Tra Telligman
Chuck Liddell,Jeremy Horn
David Loiseau,Evan Tanner
Chris Leben,Edwin DeWees
Brandon Vera,Fabiano Scherner
Spencer Fisher,Thiago Alves
Jon Fitch,Brock Larson
Jonathan Goulet,Jay Hieron
Drew Fickett,Josh Koscheck
Marcio Cruz,Keigo Kunihara
Jorge Rivera,Dennis Hallman
Joe Riggs,Chris Lytle
Renato Sobral,Chael Sonnen
Forrest Griffin,Elvis Sinosic
Branden Lee Hinkle,Sean Gannon
Andrei Arlovski,Paul Buentello
Diego Sanchez,Nick Diaz
Joe Stevenson,Luke Cummo
Rashad Evans,Brad Imes
Joshua Burkman,Sammy Morgan
Keith Jardine,Kerry Schall
Melvin Guillard,Marcus Davis
Kenny Florian,Kit Cope
Nick Thompson,Keith Wisniewski
Thiago Alves,Ansar Chalangov
Sam Hoger,Jeff Newton
Jeremy Horn,Trevor Prangley
Georges St-Pierre,Sean Sherk
Matt Hughes,Joe Riggs
Gabriel Gonzaga,Kevin Jordan
Rich Franklin,Nate Quarry
Tim Sylvia,Assuerio Silva
Stephan Bonnar,James Irvin
Joshua Burkman,Drew Fickett
Chris Leben,Jorge Rivera
Duane Ludwig,Jonathan Goulet
Spencer Fisher,Aaron Riley
Jason Von Flue,Alex Karalexis
Josh Neer,Melvin Guillard
Keith Jardine,Mike Whitehead
Jeff Monson,Branden Lee Hinkle
Paul Buentello,Gilbert Aldana
Alessio Sakara,Elvis Sinosic
Joe Riggs,Nick Diaz
Renato Sobral,Mike van Arsdale
Marcio Cruz,Frank Mir
Brandon Vera,Justin Eilers
Chuck Liddell,Randy Couture
Mike Swick,Steve Vigneault
Rich Franklin,David Loiseau
Georges St-Pierre,BJ Penn
Tom Murphy,Icho Larenas
Mark Hominick,Yves Edwards
Jason Lambert,Rob MacDonald
Nate Marquardt,Joe Doerksen
Sam Stout,Spencer Fisher
Chael Sonnen,Trevor Prangley
